MJD	band	Flux	Flux_err	FilterSet	Instr
59155.366	ZTF_g	2.44013503797259e-16	3.213849818223693e-17	GeneralFilters	P48
59155.386	ZTF_g	2.7581244679872947e-16	2.6419395743976212e-17	GeneralFilters	P48
59157.385	ZTF_g	2.3955975542205817e-16	2.3167482312077438e-17	GeneralFilters	P48
59157.385	ZTF_g	2.1568197962468145e-16	2.6023208222228774e-17	GeneralFilters	P48
59157.435	ZTF_r	3.2899983232099455e-16	1.1211741620597973e-17	GeneralFilters	P48
59157.445	ZTF_r	3.499416833478582e-16	1.2247711653109124e-17	GeneralFilters	P48
59164.301	ZTF_r	2.7720156420745246e-16	7.914674349784013e-18	GeneralFilters	P48
59164.325	ZTF_r	2.575109355115431e-16	6.878113760145234e-18	GeneralFilters	P48
59164.433	ZTF_g	1.8647209968182734e-16	1.1678806254037575e-17	GeneralFilters	P48
59164.434	ZTF_g	1.4054450201069462e-16	1.2426841928912507e-17	GeneralFilters	P48
59166.298	ZTF_r	3.883252912144288e-16	6.545192836050928e-17	GeneralFilters	P48
59166.299	ZTF_r	3.2538361257597797e-16	4.195651352603181e-17	GeneralFilters	P48
59166.387	ZTF_g	1.427624068000247e-16	1.1176568051081418e-17	GeneralFilters	P48
59166.414	ZTF_g	1.694391878099189e-16	1.0299911107731616e-17	GeneralFilters	P48
59168.217	ZTF_g	1.6285978646209153e-16	1.1549954309918786e-17	GeneralFilters	P48
59168.257	ZTF_g	1.3848854772697195e-16	9.69400263261421e-18	GeneralFilters	P48
59168.28	ZTF_r	2.4637445500670377e-16	6.126819991844059e-18	GeneralFilters	P48
59168.295	ZTF_r	2.5095489810635495e-16	6.703002085764981e-18	GeneralFilters	P48
59170.222	ZTF_g	1.309223707751084e-16	1.1817228052019198e-17	GeneralFilters	P48
59170.234	ZTF_g	1.3571062825801179e-16	1.0624499165983633e-17	GeneralFilters	P48
59170.275	ZTF_r	2.2079827524809362e-16	6.100881805740668e-18	GeneralFilters	P48
59170.28	ZTF_r	2.224311855390411e-16	6.35086747728593e-18	GeneralFilters	P48
59172.235	ZTF_g	1.2688604507469036e-16	9.81677477417121e-18	GeneralFilters	P48
59172.258	ZTF_g	1.6512539177255902e-16	1.0037683011055797e-17	GeneralFilters	P48
59174.348	ZTF_r	2.5026244120260953e-16	1.3599513368206492e-17	GeneralFilters	P48
59175.302	ZTF_g	1.2665252748565112e-16	1.6914436863151777e-17	GeneralFilters	P48
59175.369	ZTF_r	2.1242013308974246e-16	1.2912647402272236e-17	GeneralFilters	P48
59176.322	ZTF_r	2.0007631344922633e-16	7.002529599502754e-18	GeneralFilters	P48
59176.351	ZTF_g	1.4210647312288745e-16	9.816367398921567e-18	GeneralFilters	P48
59177.39	ZTF_g	1.40027669555463e-16	9.801738985563202e-18	GeneralFilters	P48
59179.232	ZTF_g	1.492154733734619e-16	2.1576907187001557e-17	GeneralFilters	P48
59179.253	ZTF_g	1.458189145230872e-16	2.135436518333278e-17	GeneralFilters	P48
59179.311	ZTF_r	2.0360839318521867e-16	8.626391977604274e-18	GeneralFilters	P48
59179.322	ZTF_r	2.0492534579974165e-16	8.68218805403847e-18	GeneralFilters	P48
59181.277	ZTF_r	2.0989189888187674e-16	1.4112183559164197e-17	GeneralFilters	P48
59181.279	ZTF_r	2.068214966786512e-16	1.3334274664563436e-17	GeneralFilters	P48
59185.194	ZTF_g	1.8088970938062844e-16	2.715670942889004e-17	GeneralFilters	P48
59185.195	ZTF_g	1.1863528038560904e-16	2.436657026822117e-17	GeneralFilters	P48
59185.235	ZTF_r	2.0587123821868079e-16	1.0428792972368305e-17	GeneralFilters	P48
59185.262	ZTF_r	1.9248446158936486e-16	1.0459799704572272e-17	GeneralFilters	P48
59187.14	ZTF_g	1.3964129285100048e-16	1.4533425359687837e-17	GeneralFilters	P48
59187.2	ZTF_g	1.103097400159137e-16	1.9405413811113653e-17	GeneralFilters	P48
59187.239	ZTF_r	1.9588251733395812e-16	1.028362454812209e-17	GeneralFilters	P48
59187.243	ZTF_r	1.8620685997112014e-16	1.0118668503592455e-17	GeneralFilters	P48
59189.166	ZTF_g	1.1646994248817055e-16	1.7163645014728666e-17	GeneralFilters	P48
59189.222	ZTF_r	1.9071975343822742e-16	5.796759687923973e-18	GeneralFilters	P48
59189.223	ZTF_r	1.9805949920860996e-16	6.019844825327658e-18	GeneralFilters	P48
59192.158	ZTF_r	1.9444450594362106e-16	2.1669891006738107e-17	GeneralFilters	P48
59192.159	ZTF_r	1.615830035310015e-16	1.4435874270213483e-17	GeneralFilters	P48
59192.194	ZTF_g	1.364626689563883e-16	1.935576148901232e-17	GeneralFilters	P48
59192.223	ZTF_g	1.497662173778926e-16	2.993293309054065e-17	GeneralFilters	P48
59194.157	ZTF_r	1.7782617073875201e-16	6.878926150106039e-18	GeneralFilters	P48
59194.219	ZTF_g	1.3286600014698166e-16	1.235978496068904e-17	GeneralFilters	P48
59194.225	ZTF_g	1.43025627232362e-16	1.2777952674636772e-17	GeneralFilters	P48
59194.258	ZTF_r	1.8518068088429654e-16	6.4811929847829665e-18	GeneralFilters	P48
59197.219	ZTF_r	1.843298529410733e-16	1.9524017892491403e-17	GeneralFilters	P48
