MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
58937.50000000486	1.7748842585907765e-15	3.8298505328988425e-17	8.460550398507391e-16	6.728935235946935e-17	1.4970979997262595e-15	9.690238117394597e-18	4.0666575523434275e-16	2.2669488106572017e-18	7.480183624952477e-16	4.1732845296158034e-18	2.576808195883941e-16	3.0610752881534456e-18
58937.55000000486	1.776467561136283e-15	3.765503187665058e-17	8.464964316795502e-16	6.658577947129049e-17	1.4972010929097152e-15	9.645784598517325e-18	4.071316328558291e-16	2.2480259538669458e-18	7.493133423392104e-16	4.138716016425269e-18	2.577922182341325e-16	3.0644532306676953e-18
58937.600000004866	1.7780506166051778e-15	3.701560494563688e-17	8.469359426593674e-16	6.588411814530349e-17	1.4973009237618973e-15	9.649055073859092e-18	4.075994807392541e-16	2.2512728653937346e-18	7.506103521876617e-16	4.146047970908368e-18	2.579038560793535e-16	3.0714012623020973e-18
58937.65000000487	1.7796331164966233e-15	3.6380249208258357e-17	8.473735533834643e-16	6.518452183724611e-17	1.4973974795247962e-15	9.699631554615102e-18	4.080692795565677e-16	2.2763539864848923e-18	7.519093589461237e-16	4.194647960836394e-18	2.58015732916333e-16	3.0819070232665875e-18
58937.70000000487	1.781214752300035e-15	3.5748991985072965e-17	8.478092443407161e-16	6.448714981409111e-17	1.4974907453547066e-15	9.796219261017243e-18	4.0854099873179644e-16	2.3221900888185682e-18	7.532103144853655e-16	4.282453531674093e-18	2.5812784694195374e-16	3.0959300360059157e-18
58937.750000004875	1.782795215493823e-15	3.51218634549608e-17	8.482429959152168e-16	6.379216740052197e-17	1.4975807063768428e-15	9.936920594156921e-18	4.090146076436397e-16	2.387222200714034e-18	7.545131706101743e-16	4.406478067305768e-18	2.5824019634573704e-16	3.1134180751577324e-18
58937.80000000488	1.7843741975442704e-15	3.4498896879633185e-17	8.486747883858855e-16	6.309974623417186e-17	1.497667347694912e-15	1.0119348798204072e-17	4.0949007567837414e-16	2.4695814180545418e-18	7.558178791300195e-16	4.563144811145254e-18	2.583527793173666e-16	3.134308087766232e-18
58937.85000000488	1.785951389904008e-15	3.388012884394967e-17	8.491046019260621e-16	6.241006452950901e-17	1.4977506543910939e-15	1.034075980399717e-17	4.099673722296794e-16	2.5672600757119628e-18	7.571243918587463e-16	4.748621234088698e-18	2.584655940466816e-16	3.158527181194838e-18
58937.90000000488	1.7875264840109356e-15	3.326559951350565e-17	8.495324166031372e-16	6.172330735022838e-17	1.4978306115259323e-15	1.0598187068402522e-17	4.1044646669845174e-16	2.6782550224617695e-18	7.584326606142869e-16	4.9590960795027915e-18	2.585786387236721e-16	3.185993718375847e-18
58937.95000000489	1.7890991712869674e-15	3.2655352910654205e-17	8.499582123781204e-16	6.103966688985827e-17	1.4979072041384008e-15	1.0888566117117643e-17	4.1092732849261134e-16	2.8006693479022313e-18	7.597426372183776e-16	5.190973332818264e-18	2.586919115384736e-16	3.21661848418301e-18
58938.00000000489	1.790669143136618e-15	3.204943721097195e-17	8.503819691052681e-16	6.035934276024008e-17	1.4979804172456894e-15	1.1208839993758519e-17	4.114099270269341e-16	2.932772701415368e-18	7.610542734962508e-16	5.440984784919098e-18	2.5880541068136426e-16	3.250305887359774e-18
58938.05000000489	1.7922360909458088e-15	3.1447905061382234e-17	8.508036665316709e-16	5.968254228734382e-17	1.4980502358431928e-15	1.1556041506360946e-17	4.118942317228537e-16	3.0730280942542803e-18	7.623675212763451e-16	5.7062377293128725e-18	2.5891913434275475e-16	3.2869551648326833e-18
58938.100000004895	1.7937997060807076e-15	3.085081392228494e-17	8.512232842968462e-16	5.900948081382198e-17	1.498116644904458e-15	1.1927352020339298e-17	4.123802120082804e-16	3.2200953517570983e-18	7.636823323900279e-16	5.984218229267579e-18	2.590330807131888e-16	3.326461558812327e-18
58938.1500000049	1.7953596798862846e-15	3.0258226435377256e-17	8.51640801932346e-16	5.834038200745655e-17	1.4981796293811517e-15	1.232013912873896e-17	4.1286783731741626e-16	3.37282038281039e-18	7.649986586712748e-16	6.272767963137843e-18	2.5914724798333417e-16	3.3687174417296668e-18
