MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err
59094.030000000384	1.2014455114876327e-16	7.89706993068911e-18	1.2408395625471282e-16	4.42452967009513e-18	nan	nan	nan	nan	nan	nan
59094.08000000039	1.2086085788550045e-16	7.935984557555434e-18	1.250171601078259e-16	4.454536245774467e-18	nan	nan	nan	nan	nan	nan
59094.13000000039	1.215772659784947e-16	7.975016756889435e-18	1.2594973816830857e-16	4.484162338358719e-18	nan	nan	nan	nan	nan	nan
59094.18000000039	1.2229378222930896e-16	8.014139947109072e-18	1.2688166580483748e-16	4.5134209324361596e-18	nan	nan	nan	nan	nan	nan
59094.230000000396	1.2301041343915515e-16	8.053328799525555e-18	1.2781291840731236e-16	4.542322699761902e-18	nan	nan	nan	nan	nan	nan
59094.2800000004	1.23727166408919e-16	8.092559217002324e-18	1.2874347137234337e-16	4.570878075504874e-18	nan	nan	nan	nan	nan	nan
59094.3300000004	1.2444404793920119e-16	8.131808311773827e-18	1.2967330009368884e-16	4.599098575423782e-18	nan	nan	nan	nan	nan	nan
59094.380000000405	1.2516106483034967e-16	8.171054382577451e-18	1.3060237996216755e-16	4.62699678551895e-18	nan	nan	nan	nan	nan	nan
59094.43000000041	1.2587822388247776e-16	8.210276891221516e-18	1.3153068636562821e-16	4.654586347961486e-18	nan	nan	nan	nan	nan	nan
59094.48000000041	1.2659553189551548e-16	8.249456438756521e-18	1.324581946888432e-16	4.681881946213211e-18	nan	nan	nan	nan	nan	nan
59094.53000000041	1.273129956692334e-16	8.288574741321886e-18	1.333848803133699e-16	4.7088992892972774e-18	nan	nan	nan	nan	nan	nan
59094.58000000042	1.2803062200327494e-16	8.327614605778598e-18	1.3431071861752013e-16	4.735655094975079e-18	nan	nan	nan	nan	nan	nan
59094.63000000042	1.2874841769718856e-16	8.366559905249284e-18	1.3523568497624986e-16	4.762167071907881e-18	nan	nan	nan	nan	nan	nan
59094.68000000042	1.2946638955046219e-16	8.405395554577106e-18	1.3615975476107355e-16	4.788453900577744e-18	nan	nan	nan	nan	nan	nan
59094.730000000425	1.3018454436255688e-16	8.444107485856248e-18	1.370829033399703e-16	4.814535212940161e-18	nan	nan	nan	nan	nan	nan
59094.78000000043	1.3090288893293794e-16	8.482682623992025e-18	1.38005106077286e-16	4.840431570645104e-18	nan	nan	nan	nan	nan	nan
59094.83000000043	1.3162143006110595e-16	8.521108862438539e-18	1.3892633833368405e-16	4.866164441795542e-18	nan	nan	nan	nan	nan	nan
59094.880000000434	1.3234017454663053e-16	8.55937503907095e-18	1.3984657546601107e-16	4.891756176065024e-18	nan	nan	nan	nan	nan	nan
59094.93000000044	1.330591291891887e-16	8.597470912281494e-18	1.4076579282722723e-16	4.917229978186101e-18	nan	nan	nan	nan	nan	nan
59094.98000000044	1.3377830078858388e-16	8.635387137303491e-18	1.4168396576634528e-16	4.942609879573791e-18	nan	nan	nan	nan	nan	nan
59095.03000000044	1.3449769614479225e-16	8.673115242781243e-18	1.4260106962826492e-16	4.967920708143283e-18	nan	nan	nan	nan	nan	nan
59095.080000000446	1.3521732205798757e-16	8.71064760761279e-18	1.4351707975377329e-16	4.993188056124618e-18	nan	nan	nan	nan	nan	nan
59095.13000000045	1.359371853285755e-16	8.747977438072853e-18	1.4443197147939957e-16	5.018438245898849e-18	nan	nan	nan	nan	nan	nan
59095.18000000045	1.366572927572293e-16	8.78509874521164e-18	1.4534572013733574e-16	5.0436982936231946e-18	nan	nan	nan	nan	nan	nan
59095.230000000454	1.3737765114491843e-16	8.822006322552516e-18	1.4625830105538564e-16	5.068995870833428e-18	nan	nan	nan	nan	nan	nan
59095.28000000046	1.3809826729294123e-16	8.858695724068623e-18	1.4716968955682378e-16	5.094359263700381e-18	nan	nan	nan	nan	nan	nan
59095.33000000046	1.3881914800295714e-16	8.895163242452014e-18	1.4807986096031197e-16	5.1198173301319784e-18	nan	nan	nan	nan	nan	nan
59095.38000000046	1.3954030007702602e-16	8.931405887647832e-18	1.4898879057991157e-16	5.14539945452644e-18	nan	nan	nan	nan	nan	nan
59095.430000000466	1.4026173031762946e-16	8.967421365669114e-18	1.4989645372476912e-16	5.1711355002563064e-18	nan	nan	nan	nan	nan	nan
59095.48000000047	1.4098344552771663e-16	9.003208057658385e-18	1.5080282569929602e-16	5.197055759831809e-18	nan	nan	nan	nan	nan	nan
59095.53000000047	1.4170545251072328e-16	9.038764999209885e-18	1.517078818028848e-16	5.2231909028516214e-18	nan	nan	nan	nan	nan	nan
59095.580000000475	1.424277580706119e-16	9.074091859903983e-18	1.5261159732991943e-16	5.249571921599174e-18	nan	nan	nan	nan	nan	nan
