MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
59185.194,19.592,0.163,6.899658903770633e-17,1.0358357733544946e-17,ZTF_g,P48,GeneralFilters
59185.195,20.05,0.223,4.525094166034141e-17,9.294117619025214e-18,ZTF_g,P48,GeneralFilters
59185.235,18.52,0.055,1.044762168354505e-16,5.29243834806987e-18,ZTF_r,P48,GeneralFilters
59185.262,18.593,0.059,9.768265115841052e-17,5.308173747075239e-18,ZTF_r,P48,GeneralFilters
59187.14,19.873,0.113,5.326324492711176e-17,5.543470550569343e-18,ZTF_g,P48,GeneralFilters
59187.2,20.129,0.191,4.207533875085816e-17,7.401788451186617e-18,ZTF_g,P48,GeneralFilters
59187.239,18.574,0.057,9.940710772584017e-17,5.21876779602754e-18,ZTF_r,P48,GeneralFilters
59187.243,18.629,0.059,9.449687312768998e-17,5.1350553570014996e-18,ZTF_r,P48,GeneralFilters
59189.166,20.07,0.16,4.442501889475741e-17,6.546712720835023e-18,ZTF_g,P48,GeneralFilters
59189.222,18.603,0.033,9.678709122956956e-17,2.9417587776648875e-18,ZTF_r,P48,GeneralFilters
59189.223,18.562,0.033,1.0051188968737562e-16,3.0549707609891266e-18,ZTF_r,P48,GeneralFilters
59192.158,18.582,0.121,9.867734094963261e-17,1.0997107955486686e-17,ZTF_r,P48,GeneralFilters
59192.159,18.783,0.097,8.20006770246182e-17,7.325965217453431e-18,ZTF_r,P48,GeneralFilters
59192.194,19.898,0.154,5.20508254516594e-17,7.382849613402402e-18,ZTF_g,P48,GeneralFilters
59192.223,19.797,0.217,5.71251852166492e-17,1.1417290072568186e-17,ZTF_g,P48,GeneralFilters
59194.157,18.679,0.042,9.024381323915247e-17,3.4909401928701074e-18,ZTF_r,P48,GeneralFilters
59194.219,19.927,0.101,5.067895150373243e-17,4.7143809697469156e-18,ZTF_g,P48,GeneralFilters
59194.225,19.847,0.097,5.455412835700126e-17,4.873882281385258e-18,ZTF_g,P48,GeneralFilters
59194.258,18.635,0.038,9.397610437089501e-17,3.289097250735547e-18,ZTF_r,P48,GeneralFilters
59197.219,18.64,0.115,9.354432339238146e-17,9.908113170565542e-18,ZTF_r,P48,GeneralFilters
59197.241,18.78,0.168,8.222756658361331e-17,1.2723377120066146e-17,ZTF_r,P48,GeneralFilters
59199.227,18.725,0.054,8.650026502322173e-17,4.302163168902091e-18,ZTF_r,P48,GeneralFilters
59199.279,19.942,0.121,4.998361022143025e-17,5.570429364230671e-18,ZTF_g,P48,GeneralFilters
59200.178,19.915,0.127,5.124218277292165e-17,5.993865898218598e-18,ZTF_g,P48,GeneralFilters
59200.241,18.642,0.034,9.337216699130507e-17,2.9239640934803187e-18,ZTF_r,P48,GeneralFilters
59202.233,20.126,0.187,4.219175797323718e-17,7.266828449137838e-18,ZTF_g,P48,GeneralFilters
59202.278,18.792,0.057,8.132375776472546e-17,4.269411089245197e-18,ZTF_r,P48,GeneralFilters
59203.222,18.853,0.052,7.688071932048188e-17,3.6821074835168184e-18,ZTF_r,P48,GeneralFilters
59203.309,19.834,0.098,5.52112552600749e-17,4.983441642431633e-18,ZTF_g,P48,GeneralFilters
