MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
58794.03500000038	nan	nan	2.2696326630610343e-17	9.830437783960006e-19	nan	nan	nan	nan	nan	nan	nan	nan
58794.085000000385	nan	nan	2.2774041003983978e-17	9.853910775149098e-19	nan	nan	nan	nan	nan	nan	nan	nan
58794.13500000039	nan	nan	2.2851673642197675e-17	9.877476961409093e-19	nan	nan	nan	nan	nan	nan	nan	nan
58794.18500000039	nan	nan	2.2929223703701653e-17	9.90112017679663e-19	nan	nan	nan	nan	nan	nan	nan	nan
58794.23500000039	nan	nan	2.3006690346786435e-17	9.924824841900428e-19	nan	nan	nan	nan	nan	nan	nan	nan
58794.2850000004	nan	nan	2.3084072729580477e-17	9.948575958284303e-19	nan	nan	nan	nan	nan	nan	nan	nan
58794.3350000004	nan	nan	2.3161370010048427e-17	9.972359102566771e-19	nan	nan	nan	nan	nan	nan	nan	nan
58794.3850000004	nan	nan	2.323858134599114e-17	9.996160420193663e-19	nan	nan	nan	nan	nan	nan	nan	nan
58794.435000000405	nan	nan	2.331570589504156e-17	1.0019966618922746e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.48500000041	nan	nan	2.3392742814666186e-17	1.0043764962061964e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.53500000041	nan	nan	2.346969126216149e-17	1.006754326151984e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.585000000414	nan	nan	2.3546550394652582e-17	1.0091289870614304e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.63500000042	nan	nan	2.3623319369093372e-17	1.011499367675762e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.68500000042	nan	nan	2.3699997342262285e-17	1.0138644093992688e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.73500000042	nan	nan	2.3776583470763103e-17	1.0162231055408937e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.785000000425	nan	nan	2.385307691102268e-17	1.0185745005454303e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.83500000043	nan	nan	2.392947681928857e-17	1.0209176892194318e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.88500000043	nan	nan	2.4005782351629015e-17	1.0232518159472826e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.935000000434	nan	nan	2.408199266393006e-17	1.0255760739044315e-18	nan	nan	nan	nan	nan	nan	nan	nan
58794.98500000044	nan	nan	2.415810691189644e-17	1.027889704270027e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.03500000044	nan	nan	2.4234124251045378e-17	1.0301919954315212e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.08500000044	nan	nan	2.4310043836710028e-17	1.0324822821921514e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.135000000446	nan	nan	2.4385864824035364e-17	1.0347599449801893e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.18500000045	nan	nan	2.4461586367976708e-17	1.0370244090543755e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.23500000045	nan	nan	2.4537207623299235e-17	1.0392751437131055e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.285000000455	nan	nan	2.461272774457621e-17	1.0415116615063312e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.33500000046	nan	nan	2.4688145886186097e-17	1.0437335174511477e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.38500000046	nan	nan	2.476346120231283e-17	1.0459403082464659e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.43500000046	nan	nan	2.4838672846943537e-17	1.0481316714956574e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.485000000466	nan	nan	2.4913779973866694e-17	1.0503072849297344e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.53500000047	nan	nan	2.498878173667162e-17	1.0524668656373215e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.58500000047	nan	nan	2.5063677288744844e-17	1.0546101692963129e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.635000000475	nan	nan	2.513846578327149e-17	1.0567369894105272e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.68500000048	nan	nan	2.5213146373232065e-17	1.058847156550916e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.73500000048	nan	nan	2.5287718211399665e-17	1.0609405376009075e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.785000000484	nan	nan	2.5362180450342802e-17	1.0630170350037533e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.83500000049	nan	nan	2.543653224241754e-17	1.0650765860181374e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.88500000049	nan	nan	2.5510772739772014e-17	1.0671191619721085e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.93500000049	nan	nan	2.558490118773044e-17	1.0691446930036277e-18	nan	nan	nan	nan	nan	nan	nan	nan
58795.985000000495	nan	nan	2.5658917336528448e-17	1.0711527388941996e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.0350000005	nan	nan	2.5732821106184018e-17	1.0731427562714949e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.0850000005	nan	nan	2.580661241662768e-17	1.0751142341216973e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.135000000504	nan	nan	2.5880291187578836e-17	1.0770666938542742e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.18500000051	nan	nan	2.595385733853997e-17	1.078999689257737e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.23500000051	nan	nan	2.602731078879981e-17	1.0809128064542268e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.28500000051	nan	nan	2.6100651457432394e-17	1.0828056638517488e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.335000000516	nan	nan	2.6173879263296818e-17	1.08467791208987e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.38500000052	nan	nan	2.6246994125035512e-17	1.0865292339863029e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.43500000052	nan	nan	2.631999596107754e-17	1.0883593444788155e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.485000000524	nan	nan	2.6392884689633444e-17	1.0901679905694154e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.53500000053	nan	nan	2.6465660228701876e-17	1.091954951261928e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.58500000053	nan	nan	2.6538322496062292e-17	1.0937200375014728e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.63500000053	nan	nan	2.6610871409279204e-17	1.0954630921125595e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.685000000536	nan	nan	2.6683306885699655e-17	1.0971839897388033e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.73500000054	nan	nan	2.675562884245549e-17	1.0988826367744674e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.78500000054	nan	nan	2.682783719646094e-17	1.1005589713047182e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.835000000545	nan	nan	2.689993186441398e-17	1.102212963040418e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.88500000055	nan	nan	2.697191276279338e-17	1.1038446132516032e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.93500000055	nan	nan	2.7043779807862325e-17	1.1054539547039286e-18	nan	nan	nan	nan	nan	nan	nan	nan
58796.98500000055	nan	nan	2.711553291566572e-17	1.107041051592852e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.03500000056	nan	nan	2.7187172002031158e-17	1.1086059994760141e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.08500000056	nan	nan	2.7258696982568212e-17	1.1101489252099302e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.13500000056	nan	nan	2.7330107772666106e-17	1.1116699868786694e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.185000000565	nan	nan	2.7401404287498697e-17	1.113169373728049e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.23500000057	nan	nan	2.747258644201921e-17	1.1146473060956107e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.28500000057	nan	nan	2.754365415096354e-17	1.1161040353411946e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.335000000574	nan	nan	2.7614607328847197e-17	1.117539843773985e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.38500000058	nan	nan	2.7685445889966776e-17	1.1189550445809013e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.43500000058	nan	nan	2.775616974839981e-17	1.1203499817464377e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.48500000058	nan	nan	2.7826778818004526e-17	1.1217250299820767e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.535000000586	nan	nan	2.7897273012417567e-17	1.1230805946402191e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.58500000059	nan	nan	2.796765224505826e-17	1.12441711163243e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.63500000059	nan	nan	2.8037916429122894e-17	1.1257350473438643e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.685000000594	nan	nan	2.8108065477589364e-17	1.1270348985409256e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.7350000006	nan	nan	2.817809930321374e-17	1.1283171922781064e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.7850000006	nan	nan	2.8248017818532366e-17	1.1295824857982554e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.8350000006	nan	nan	2.83178209358595e-17	1.1308313664262047e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.885000000606	nan	nan	2.838750856728781e-17	1.132064451460719e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.93500000061	nan	nan	2.845708062468987e-17	1.1332823880554062e-18	nan	nan	nan	nan	nan	nan	nan	nan
58797.98500000061	nan	nan	2.8526537019716015e-17	1.1344858530992368e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.035000000615	nan	nan	2.8595877663794464e-17	1.1356755530810158e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.08500000062	nan	nan	2.866510246813123e-17	1.1368522239539186e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.13500000062	nan	nan	2.8734211343709804e-17	1.1380166309875354e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.18500000062	nan	nan	2.8803204201292e-17	1.1391695686102026e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.235000000626	nan	nan	2.8872080951416976e-17	1.140311860244632e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.28500000063	nan	nan	2.894084150439956e-17	1.1414443581280807e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.33500000063	nan	nan	2.900948577033339e-17	1.1425679431266879e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.385000000635	nan	nan	2.907801365908763e-17	1.1436835245346564e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.43500000064	nan	nan	2.9146425080307747e-17	1.1447920398606147e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.48500000064	nan	nan	2.921471994341672e-17	1.1458944546015121e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.535000000644	nan	nan	2.928289815761157e-17	1.1469917620024165e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.58500000065	nan	nan	2.9350959631866847e-17	1.1480849828018675e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.63500000065	nan	nan	2.9418904274932057e-17	1.1491751649601388e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.68500000065	nan	nan	2.948673199533277e-17	1.1502633833705236e-18	nan	nan	nan	nan	nan	nan	nan	nan
58798.735000000655	nan	nan	2.955444270136874e-17	1.1513507395581749e-18	nan	nan	nan	nan	nan	nan	nan	nan
