MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
59013.150000009264	1.930478217701325e-16	1.7983870520192117e-17	2.7343149955896297e-16	3.103148032936151e-17	2.1902783522148626e-16	1.0268144339618929e-17	3.0583440341677364e-16	6.677079311388676e-18	3.0083800703755908e-16	1.5168813663656197e-17	3.38812597403126e-16	2.3855980886904902e-17
59013.20000000927	1.9318351806692687e-16	1.7405269248598096e-17	2.7272985329477605e-16	3.1031431801315926e-17	2.184086912699077e-16	9.96666595804262e-18	3.0604451769869154e-16	6.535698149647855e-18	3.004190129972447e-16	1.521496096718858e-17	3.3864990509481024e-16	2.4011789127652108e-17
59013.25000000927	1.9330341468169581e-16	1.6817247726839635e-17	2.720279447628417e-16	3.102104194678223e-17	2.1777806149676133e-16	9.668636733753788e-18	3.06246192425367e-16	6.388334119684886e-18	2.999898011568472e-16	1.5252692880939314e-17	3.3848710750283623e-16	2.4166593434646894e-17
59013.30000000927	1.9340724668707871e-16	1.6220972441684495e-17	2.7132599006000564e-16	3.100031953665066e-17	2.17135885623743e-16	9.37437225904179e-18	3.064391682537015e-16	6.235385668877196e-18	2.995506419054161e-16	1.528195636858878e-17	3.3832420985375857e-16	2.4320387974208952e-17
59013.350000009275	1.9349474876585275e-16	1.5617757314688045e-17	2.706242052788996e-16	3.096927638677231e-17	2.1648210330925324e-16	9.084212761462795e-18	3.066231858037688e-16	6.077309899153613e-18	2.9910180557052076e-16	1.5302701582779408e-17	3.3816121737372086e-16	2.447316698728608e-17
59013.40000000928	1.935656552048795e-16	1.500909252207579e-17	2.699228065096012e-16	3.0927927367261976e-17	2.1581665414847986e-16	8.79852544521987e-18	3.067979856576709e-16	5.914632667788043e-18	2.9864356242010837e-16	1.5314881845619007e-17	3.3799813528859846e-16	2.4624924788413217e-17
59013.45000000928	1.936196998890599e-16	1.439668020184224e-17	2.6922200984133345e-16	3.087629041507321e-17	2.151394776725627e-16	8.517706969204279e-18	3.0696330835859577e-16	5.747960728638771e-18	2.9817618266366e-16	1.531845363787925e-17	3.3783496882387357e-16	2.477565576472972e-17
59013.500000009284	1.9365661629527625e-16	1.378247873454514e-17	2.6852203136397975e-16	3.081438654965968e-17	2.1445051334869662e-16	8.242186023744302e-18	3.071188944096428e-16	5.5779962877737515e-18	2.976999364542173e-16	1.5313376597279443e-17	3.3767172320481385e-16	2.4925354374962277e-17
59013.55000000929	1.9367613748634233e-16	1.3168757598722155e-17	2.6782308716977914e-16	3.074223989173396e-17	2.137497005796573e-16	7.972425945348321e-18	3.072644842728476e-16	5.405554367621302e-18	2.97215093889725e-16	1.5299613526091014e-17	3.3750840365636515e-16	2.5074015148512995e-17
59013.60000000929	1.9367799610492122e-16	1.2558165057187105e-17	2.671253933550098e-16	3.065987768553677e-17	2.1303697870339891e-16	7.708927277776034e-18	3.0739981836808296e-16	5.2315833559448886e-18	2.9672192501473983e-16	1.5277130408174173e-17	3.3734501540316956e-16	2.5221632684526132e-17
